gameId,teamId,opponentId,homeTeam?,playerInfoId,playerFullName,battingRuns,battingDoubles,battingTriples,battingHomeRuns,battingStrikeOuts,battingBaseOnBalls,battingHits,battingAtBats,battingStolenBases,battingRbi,battingLeftOnBase,pitchingRuns,pitchingDoubles,pitchingTriples,pitchingHomeRuns,pitchingStrikeOuts,pitchingBaseOnBalls,pitchingHits,pitchingAtBats,pitchingStolenBases,pitchingNumberOfPitches,pitchingInningsPitched,pitchingWins,pitchingLosses,pitchingHolds,pitchingBlownSaves,pitchingEarnedRuns,pitchingPitchesThrown
717456,119,108,True,669257,Will Smith,2,0,0,1,0,0,3,5,0,2,0,,,,,,,,,,,,,,,,,
717456,119,108,True,641360,Phil Bickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,664062,Tony Gonsolin,,,,,,,,,,,,4,0,0,2,5,1,7,26,0,77,6.2,1,0,0,0,4,77
717456,119,108,True,681911,Alex Vesia,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,3,0.1,0,0,1,0,0,3
717456,119,108,True,605131,Austin Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,660634,Yonny Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,676272,Bobby Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,571970,Max Muncy,0,0,0,0,0,1,0,4,0,0,1,,,,,,,,,,,,,,,,,
717456,119,108,True,518792,Jason Heyward,0,0,0,0,1,0,0,3,0,0,0,,,,,,,,,,,,,,,,,
717456,119,108,True,657571,Caleb Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,518692,Freddie Freeman,2,0,0,1,1,0,1,5,0,1,2,,,,,,,,,,,,,,,,,
717456,119,108,True,660813,Brusdar Graterol,,,,,,,,,,,,0,0,0,0,1,0,1,4,0,16,1.0,0,0,1,0,0,16
717456,119,108,True,676356,Jonny DeLuca,0,0,0,0,1,0,0,2,0,0,1,,,,,,,,,,,,,,,,,
717456,119,108,True,444482,David Peralta,0,0,0,0,0,0,0,2,0,0,2,,,,,,,,,,,,,,,,,
717456,119,108,True,502110,J.D. Martinez,1,1,0,1,0,1,2,3,0,2,1,,,,,,,,,,,,,,,,,
717456,119,108,True,675627,Michael Grove,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,628711,Julio Urías,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,681546,James Outman,2,0,0,0,1,0,1,4,0,0,1,,,,,,,,,,,,,,,,,
717456,119,108,True,623465,Evan Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,605141,Mookie Betts,2,1,0,2,0,1,3,4,0,4,0,,,,,,,,,,,,,,,,,
717456,119,108,True,687798,Nick Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,518489,Ryan Brasier,,,,,,,,,,,,0,0,0,0,1,1,0,3,0,18,1.0,0,0,0,0,0,18
717456,119,108,True,663542,Bryan Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,686218,Emmet Sheehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717456,119,108,True,500743,Miguel Rojas,2,1,0,0,1,1,1,3,0,1,0,,,,,,,,,,,,,,,,,
717456,119,108,True,678246,Miguel Vargas,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
717437,119,108,True,669257,Will Smith,1,0,0,0,1,1,1,4,0,2,0,,,,,,,,,,,,,,,,,
717437,119,108,True,641360,Phil Bickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,664062,Tony Gonsolin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,681911,Alex Vesia,,,,,,,,,,,,0,0,0,0,2,0,1,4,0,15,1.0,0,0,0,0,0,15
717437,119,108,True,605131,Austin Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,660634,Yonny Hernández,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
717437,119,108,True,676272,Bobby Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,571970,Max Muncy,1,0,0,1,0,1,2,3,0,2,0,,,,,,,,,,,,,,,,,
717437,119,108,True,518792,Jason Heyward,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,657571,Caleb Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,518692,Freddie Freeman,2,1,0,1,1,0,2,4,0,3,0,,,,,,,,,,,,,,,,,
717437,119,108,True,660813,Brusdar Graterol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,676356,Jonny DeLuca,0,0,0,0,1,0,0,3,0,0,4,,,,,,,,,,,,,,,,,
717437,119,108,True,444482,David Peralta,1,0,0,1,0,0,1,1,0,1,0,,,,,,,,,,,,,,,,,
717437,119,108,True,502110,J.D. Martinez,1,0,0,1,1,1,2,4,0,1,1,,,,,,,,,,,,,,,,,
717437,119,108,True,675627,Michael Grove,,,,,,,,,,,,4,2,1,1,6,1,6,24,0,79,6.0,1,0,0,0,4,79
717437,119,108,True,628711,Julio Urías,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,681546,James Outman,1,0,0,0,1,0,1,4,0,0,5,,,,,,,,,,,,,,,,,
717437,119,108,True,623465,Evan Phillips,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,3,0.1,0,0,0,0,0,3
717437,119,108,True,605141,Mookie Betts,2,0,0,1,1,1,1,4,0,1,0,,,,,,,,,,,,,,,,,
717437,119,108,True,687798,Nick Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,518489,Ryan Brasier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,663542,Bryan Hudson,,,,,,,,,,,,1,0,0,0,1,1,2,6,0,30,1.2,0,0,0,0,1,30
717437,119,108,True,686218,Emmet Sheehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717437,119,108,True,500743,Miguel Rojas,0,0,0,0,0,0,0,4,0,0,4,,,,,,,,,,,,,,,,,
717437,119,108,True,678246,Miguel Vargas,1,0,0,0,0,1,0,2,0,0,2,,,,,,,,,,,,,,,,,
717413,119,121,False,669257,Will Smith,0,0,0,0,3,0,0,5,0,1,5,,,,,,,,,,,,,,,,,
717413,119,121,False,641360,Phil Bickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717413,119,121,False,621035,Chris Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717413,119,121,False,664062,Tony Gonsolin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717413,119,121,False,681911,Alex Vesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717413,119,121,False,605131,Austin Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717413,119,121,False,660634,Yonny Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,
