gameId,teamId,opponentId,homeTeam?,playerInfoId,playerFullName,battingRuns,battingDoubles,battingTriples,battingHomeRuns,battingStrikeOuts,battingBaseOnBalls,battingHits,battingAtBats,battingStolenBases,battingRbi,battingLeftOnBase,pitchingRuns,pitchingDoubles,pitchingTriples,pitchingHomeRuns,pitchingStrikeOuts,pitchingBaseOnBalls,pitchingHits,pitchingAtBats,pitchingStolenBases,pitchingNumberOfPitches,pitchingInningsPitched,pitchingWins,pitchingLosses,pitchingHolds,pitchingBlownSaves,pitchingEarnedRuns,pitchingPitchesThrown
717516,137,136,True,666165,Blake Sabol,2,0,0,2,0,0,2,4,0,5,2,,,,,,,,,,,,,,,,,
717516,137,136,True,669477,Casey Schmitt,0,0,0,0,2,0,0,2,0,0,0,,,,,,,,,,,,,,,,,
717516,137,136,True,502171,Alex Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717516,137,136,True,624424,Michael Conforto,1,0,0,0,1,1,1,3,0,0,1,,,,,,,,,,,,,,,,,
717516,137,136,True,663698,Joey Bart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717516,137,136,True,640455,Sean Manaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717516,137,136,True,592626,Joc Pederson,0,0,0,0,2,0,0,4,0,0,1,,,,,,,,,,,,,,,,,
717516,137,136,True,657277,Logan Webb,,,,,,,,,,,,2,1,0,0,11,2,7,27,0,100,6.2,0,0,0,0,2,100
717516,137,136,True,676254,Ryan Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717516,137,136,True,543063,Brandon Crawford,0,0,0,0,1,0,0,2,0,0,1,,,,,,,,,,,,,,,,,
717516,137,136,True,676775,Keaton Winn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717516,137,136,True,672275,Patrick Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717516,137,136,True,527038,Wilmer Flores,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
717516,137,136,True,689172,Brett Wisely,0,0,0,0,1,0,0,3,0,0,2,,,,,,,,,,,,,,,,,
