gameId,teamId,opponentId,homeTeam?,playerInfo_id,playerInfo_fullName,playerStats_batting_runs,playerStats_batting_doubles,playerStats_batting_triples,playerStats_batting_homeRuns,playerStats_batting_strikeOuts,playerStats_batting_baseOnBalls,playerStats_batting_hits,playerStats_batting_atBats,playerStats_batting_stolenBases,playerStats_batting_rbi,playerStats_batting_leftOnBase,playerStats_pitching_runs,playerStats_pitching_doubles,playerStats_pitching_triples,playerStats_pitching_homeRuns,playerStats_pitching_strikeOuts,playerStats_pitching_baseOnBalls,playerStats_pitching_hits,playerStats_pitching_atBats,playerStats_pitching_stolenBases,playerStats_pitching_numberOfPitches,playerStats_pitching_inningsPitched,playerStats_pitching_wins,playerStats_pitching_losses,playerStats_pitching_holds,playerStats_pitching_blownSaves,playerStats_pitching_earnedRuns,playerStats_pitching_pitchesThrown
717507,120,113,True,678606,Jose A. Ferrer,,,,,,,,,,,,0,0,0,0,2,2,0,3,2,25,1.0,0,0,0,0,0,25
717507,120,113,True,682928,CJ Abrams,2,2,0,0,1,1,2,3,0,0,3,,,,,,,,,,,,,,,,,
717507,120,113,True,572816,Corey Dickerson,0,0,0,0,0,0,1,4,0,1,1,,,,,,,,,,,,,,,,,
717507,120,113,True,686294,Amos Willingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,656180,Riley Adams,0,0,0,0,1,0,0,3,0,0,1,,,,,,,,,,,,,,,,,
717507,120,113,True,592866,Trevor Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,666168,Mason Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,680686,Josiah Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,640451,Hunter Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,686747,Joe La Sorsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,607179,Jordan Weems,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,608841,Joey Meneses,0,0,0,0,0,1,1,3,0,1,0,,,,,,,,,,,,,,,,,
717507,120,113,True,545121,Ildemaro Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,640448,Kyle Finnegan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,656308,Michael Chavis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,656448,Stone Garrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,600869,Jeimer Candelario,1,0,0,0,2,1,0,4,0,0,2,,,,,,,,,,,,,,,,,
717507,120,113,True,642086,Dominic Smith,1,0,0,0,1,0,1,4,0,0,0,,,,,,,,,,,,,,,,,
717507,120,113,True,669022,MacKenzie Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,663623,Jake Irvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,571578,Patrick Corbin,,,,,,,,,,,,6,1,0,2,2,3,10,24,2,93,5.0,0,1,0,0,6,93
717507,120,113,True,660688,Keibert Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717507,120,113,True,676265,Cory Abbott,,,,,,,,,,,,2,0,0,1,0,2,6,11,2,46,3.0,0,0,0,0,2,46
717507,120,113,True,657041,Lane Thomas,0,1,0,0,1,0,1,4,0,1,5,,,,,,,,,,,,,,,,,
717507,120,113,True,656537,Derek Hill,0,0,0,0,1,1,1,3,0,1,4,,,,,,,,,,,,,,,,,
717507,120,113,True,671277,Luis García Jr.,0,0,0,0,1,0,0,5,0,0,4,,,,,,,,,,,,,,,,,
717493,120,113,True,678606,Jose A. Ferrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,682928,CJ Abrams,0,0,0,0,1,1,1,3,0,0,1,,,,,,,,,,,,,,,,,
717493,120,113,True,572816,Corey Dickerson,0,0,0,0,0,0,2,3,0,0,0,,,,,,,,,,,,,,,,,
717493,120,113,True,686294,Amos Willingham,,,,,,,,,,,,0,0,0,0,1,0,1,4,0,22,1.0,0,0,0,0,0,22
717493,120,113,True,656180,Riley Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,592866,Trevor Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,666168,Mason Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,680686,Josiah Gray,,,,,,,,,,,,5,2,0,2,6,4,8,22,3,102,5.0,0,1,0,0,3,102
717493,120,113,True,640451,Hunter Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,686747,Joe La Sorsa,,,,,,,,,,,,4,1,0,0,2,2,6,12,1,51,2.0,0,0,0,0,4,51
717493,120,113,True,607179,Jordan Weems,,,,,,,,,,,,0,1,0,0,0,2,1,4,0,27,1.0,0,0,0,0,0,27
717493,120,113,True,608841,Joey Meneses,0,0,0,0,0,1,1,3,0,1,1,,,,,,,,,,,,,,,,,
717493,120,113,True,545121,Ildemaro Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,640448,Kyle Finnegan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,656308,Michael Chavis,0,0,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,
717493,120,113,True,656448,Stone Garrett,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,
717493,120,113,True,600869,Jeimer Candelario,0,1,0,0,0,0,1,4,0,0,2,,,,,,,,,,,,,,,,,
717493,120,113,True,642086,Dominic Smith,0,0,0,0,0,0,0,3,0,0,2,,,,,,,,,,,,,,,,,
717493,120,113,True,669022,MacKenzie Gore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,663623,Jake Irvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,669743,Alex Call,0,0,0,0,0,0,1,4,0,0,2,,,,,,,,,,,,,,,,,
717493,120,113,True,571578,Patrick Corbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,660688,Keibert Ruiz,0,0,0,0,1,0,1,4,0,0,3,,,,,,,,,,,,,,,,,
717493,120,113,True,676265,Cory Abbott,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717493,120,113,True,657041,Lane Thomas,1,0,0,0,1,1,2,4,0,0,3,,,,,,,,,,,,,,,,,
717493,120,113,True,671277,Luis García Jr.,1,0,0,0,0,1,1,4,0,0,6,,,,,,,,,,,,,,,,,
717481,120,113,True,678606,Jose A. Ferrer,,,,,,,,,,,,0,1,0,0,0,0,1,4,0,14,1.1,0,0,0,1,0,14
717481,120,113,True,682928,CJ Abrams,1,0,0,0,1,0,0,4,2,0,3,,,,,,,,,,,,,,,,,
717481,120,113,True,572816,Corey Dickerson,0,0,0,0,0,0,0,2,0,0,2,,,,,,,,,,,,,,,,,
717481,120,113,True,686294,Amos Willingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717481,120,113,True,656180,Riley Adams,0,2,0,0,0,0,3,4,0,0,1,,,,,,,,,,,,,,,,,
717481,120,113,True,592866,Trevor Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717481,120,113,True,666168,Mason Thompson,,,,,,,,,,,,1,0,0,0,0,1,1,8,0,31,2.2,0,0,0,0,1,31
717481,120,113,True,680686,Josiah Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717481,120,113,True,640451,Hunter Harvey,,,,,,,,,,,,2,0,0,1,3,0,1,5,0,22,1.1,0,1,0,0,1,22
